date,landing_id,channel,bookings,contracts,revenue,memo
2026-07-10,find-me,direct,1,1,20000,"직접(direct) 유입 결제 — 광고 중단 기간(7/10~13), GA4 direct 세션으로 확인. revenue.csv·booking_completed.csv 총액에 포함된 수치의 채널 구분용"
2026-07-13,find-me,direct,1,1,20000,"오가닉·직접 결제 — Meta 결제시작(예약 신청) 0으로 광고 귀속 근거 없음, GA4 direct 3세션. 광고 외 결제는 오가닉으로 기록 원칙"
